No.,Source,Destination,Cost
1,0xe1a6,0x0000,1
2,0xe1a6,0x0112,7
3,0xe1a6,0x1cd8,1
4,0xe1a6,0x1e15,1
5,0xe1a6,0x3d95,1
6,0xe1a6,0x4e11,1
7,0xe1a6,0xa706,7
8,0xe1a6,0xec7f,1
9,0x3d95,0x0000,1
10,0x3d95,0x0112,7
11,0x3d95,0x1cd8,1
12,0x3d95,0x1e15,1
13,0x3d95,0x4e11,3
14,0x3d95,0xa706,7
15,0x3d95,0xe1a6,1
16,0x3d95,0xec7f,1
17,0x1e15,0x0000,1
18,0x1e15,0x1cd8,1
19,0x1e15,0x3d95,1
20,0x1e15,0x4e11,3
21,0x1e15,0xa706,7
22,0x1e15,0xe1a6,1
23,0x1e15,0xec7f,1
24,0x0000,0x0112,3
25,0x0000,0x1cd8,1
26,0x0000,0x1e15,3
27,0x0000,0x3d95,3
28,0x0000,0x4e11,3
29,0x0000,0xa706,3
30,0x0000,0xe1a6,1
31,0x0000,0xec7f,1
32,0x1cd8,0x0000,1
33,0x1cd8,0x0112,3
34,0x1cd8,0x1e15,1
35,0x1cd8,0x3d95,1
36,0x1cd8,0x4e11,3
37,0x1cd8,0xa706,3
38,0x1cd8,0xe1a6,1
39,0x1cd8,0xec7f,1
40,0x0112,0x0000,1
41,0x0112,0x1cd8,1
42,0x0112,0x1e15,0
43,0x0112,0x3d95,7
44,0x0112,0x4e11,3
45,0x0112,0xa706,2
46,0x0112,0xe1a6,5
47,0x0112,0xec7f,1
48,0xec7f,0x0000,1
49,0xec7f,0x0112,7
50,0xec7f,0x1cd8,1
51,0xec7f,0x1e15,1
52,0xec7f,0x3d95,1
53,0xec7f,0x4e11,1
54,0xec7f,0xa706,5
55,0xec7f,0xe1a6,1
56,0x4e11,0x0000,1
57,0x4e11,0x0112,7
58,0x4e11,0x1cd8,1
59,0x4e11,0x1e15,3
60,0x4e11,0x3d95,2
61,0x4e11,0xa706,0
62,0x4e11,0xe1a6,1
63,0x4e11,0xec7f,1
64,0xa706,0x0000,1
65,0xa706,0x0112,3
66,0xa706,0x1cd8,1
67,0xa706,0x1e15,7
68,0xa706,0x3d95,7
69,0xa706,0xe1a6,5
70,0xa706,0xec7f,1
